id,type,ssapId,Title,country,fundCode,title0,status,contractNumber,supplierCode,supplierName,trls,other,yearAchievement,submissionDate,submittedBy,lastAuthor,scheme,arap_PlannedStartTRL,arap_PlannedEndTRL,arap_Description,arap_StartofActivity,arap_EED,arap_ProspectforUse,arap_PerformanceofCompagny,arap_Note,arap_OverallAmount,arap_lastModifiedOn,description,author0,esaInternal,technicalOfficer
11,activity,activity_ESA-2025-011,Urban Planning Tools Utilizing Space Data,Belgium,FND-ESA-011,UrbanSat,"06/20/2025, 12:00:00 AM",CTR-ESA-011,SUP-ESA-011,Spacebel,5,,2025,"03/18/2025, 12:00:00 AM",Ing. Dupont,Ing. Martin,ESA Business Applications,4,5,Integrated satellite data into urban planning,"02/01/2025, 12:00:00 AM","06/20/2025, 12:00:00 AM",Enhanced city planning,Optimized land use,,880000,"06/20/2025, 12:00:00 AM",Urban planning tools deployed,Ing. Dupont,False,Ing. Morel
12,activity,activity_ESA-2025-012,Climate Change Monitoring via Satellite Technology,Sweden,FND-ESA-012,ClimateSat,"08/05/2025, 12:00:00 AM",CTR-ESA-012,SUP-ESA-012,Lund University,6,,2025,"04/05/2025, 12:00:00 AM",Dr. Andersson,Dr. Svensson,ESA Earth Observation,5,6,Monitored climate change indicators from space,"03/01/2025, 12:00:00 AM","08/05/2025, 12:00:00 AM",Provided climate data for policy,Improved climate modeling,,1000000,"08/05/2025, 12:00:00 AM",Satellite climate monitoring system deployed,Dr. Andersson,False,Ing. Johansson
13,activity,activity_ESA-2025-013,Infrastructure Monitoring Using Space Assets,Austria,FND-ESA-013,InfraSat,"09/10/2025, 12:00:00 AM",CTR-ESA-013,SUP-ESA-013,Austrian Space Applications Programme,7,,2025,"04/10/2025, 12:00:00 AM",Ing. Gruber,Ing. Bauer,ESA ARTES,6,7,Monitored infrastructure status and maintenance needs,"03/15/2025, 12:00:00 AM","09/10/2025, 12:00:00 AM",Reduced maintenance costs,Enhanced safety,,920000,"09/10/2025, 12:00:00 AM",Infrastructure monitoring satellites deployed,Ing. Gruber,False,Ing. Fischer
14,activity,activity_ESA-2025-014,Smart Logistics via Satellite Tracking,Italy,FND-ESA-014,LogiSat,"07/25/2025, 12:00:00 AM",CTR-ESA-014,SUP-ESA-014,Leonardo,6,,2025,"04/02/2025, 12:00:00 AM",Ing. Colombo,Ing. Ricci,ESA Business Applications,5,6,Tracked shipments and optimized logistics,"02/20/2025, 12:00:00 AM","07/25/2025, 12:00:00 AM",Improved delivery times,Reduced operational costs,,850000,"07/25/2025, 12:00:00 AM",Satellite logistics system deployed,Ing. Colombo,False,Ing. Bianchi
15,activity,activity_ESA-2025-015,Satellite-Based Air Traffic Management,Spain,FND-ESA-015,AirSat,"08/15/2025, 12:00:00 AM",CTR-ESA-015,SUP-ESA-015,Indra,7,,2025,"04/08/2025, 12:00:00 AM",Ing. Martinez,Ing. Alvarez,ESA ARTES,6,7,Enhanced air traffic monitoring and control,"03/01/2025, 12:00:00 AM","08/15/2025, 12:00:00 AM",Reduced flight delays,Increased air safety,,1100000,"08/15/2025, 12:00:00 AM",Air traffic monitoring system deployed,Ing. Martinez,False,Ing. Lopez
16,activity,activity_ESA-2025-016,Space-Based Telemedicine Applications,France,FND-ESA-016,TeleMedSat,"09/05/2025, 12:00:00 AM",CTR-ESA-016,SUP-ESA-016,Thales Alenia Space,6,,2025,"04/12/2025, 12:00:00 AM",Mme. Dubois,Mme. Laurent,ESA Business Applications,5,6,Developed telemedicine solutions using satellite links,"03/10/2025, 12:00:00 AM","09/05/2025, 12:00:00 AM",Improved remote healthcare,Enhanced patient monitoring,,970000,"09/05/2025, 12:00:00 AM",Telemedicine satellite system deployed,Mme. Dubois,False,Ing. Moreau
17,activity,activity_ESA-2025-017,Satellite-Based Border Surveillance,Germany,FND-ESA-017,BorderSat,"07/18/2025, 12:00:00 AM",CTR-ESA-017,SUP-ESA-017,Airbus Defence and Space,7,,2025,"03/22/2025, 12:00:00 AM",Dr. Klein,Dr. Meyer,ESA ARTES,6,7,Monitored borders and enhanced security,"02/28/2025, 12:00:00 AM","07/18/2025, 12:00:00 AM",Reduced illegal crossings,Enhanced border management,,1050000,"07/18/2025, 12:00:00 AM",Border surveillance satellites deployed,Dr. Klein,False,Ing. Fischer
18,activity,activity_ESA-2025-018,Maritime Pollution Tracking via Satellites,Netherlands,FND-ESA-018,MarineSat,"08/28/2025, 12:00:00 AM",CTR-ESA-018,SUP-ESA-018,TNO,6,,2025,"04/15/2025, 12:00:00 AM",Dr. Van Leeuwen,Dr. Smit,ESA Earth Observation,5,6,Tracked maritime pollution and emissions,"03/05/2025, 12:00:00 AM","08/28/2025, 12:00:00 AM",Improved environmental policies,Enhanced pollution control,,980000,"08/28/2025, 12:00:00 AM",Marine pollution monitoring satellites deployed,Dr. Van Leeuwen,False,Ing. Bakker
19,activity,activity_ESA-2025-019,Smart Energy Grid Optimization via Satellite Data,Italy,FND-ESA-019,EnergySat,"09/12/2025, 12:00:00 AM",CTR-ESA-019,SUP-ESA-019,Leonardo,7,,2025,"04/20/2025, 12:00:00 AM",Ing. Rossi,Ing. Bianchi,ESA Business Applications,6,7,Optimized energy distribution using satellite data,"03/12/2025, 12:00:00 AM","09/12/2025, 12:00:00 AM",Reduced energy losses,Improved grid stability,,1100000,"09/12/2025, 12:00:00 AM",Satellite energy grid optimization deployed,Ing. Rossi,False,Ing. Conti
20,activity,activity_ESA-2025-020,Satellite-Assisted Traffic Management,France,FND-ESA-020,TrafficSat,"07/22/2025, 12:00:00 AM",CTR-ESA-020,SUP-ESA-020,Thales Alenia Space,6,,2025,"03/28/2025, 12:00:00 AM",Mme. Dupont,Mme. Leclerc,ESA ARTES,5,6,Monitored traffic and improved urban mobility,"02/22/2025, 12:00:00 AM","07/22/2025, 12:00:00 AM",Reduced congestion,Enhanced traffic planning,,950000,"07/22/2025, 12:00:00 AM",Traffic management satellite system deployed,Mme. Dupont,False,Ing. Moreau
